Citation	Full Reference	Data Type	Resource Type	Resource Type Comment	Methods	Methods Comment	Location	Year	Accession	Accession Type
573	Amphibien. (2023). Info Fauna Nationales Daten- Und Informationszentrum Der Schweizer Fauna. https://www.infofauna.ch/de/beratungsstellen/amphibien-karch/die-amphibien/arten#gsc.tab=0	Digital	Scientific website		NA		Switzerland	2023	https://www.infofauna.ch/de/beratungsstellen/amphibien-karch/die-amphibien/arten#gsc.tab=0	URL
574	Reptilienarten der Schweiz | info fauna. (2023). Info Fauna Nationales Daten- Und Informationszentrum Der Schweizer Fauna. https://www.infofauna.ch/de/beratungsstellen/reptilien-karch/die-reptilien/arten#gsc.tab=0	Digital	Scientific website		NA		Switzerland	2023	https://www.infofauna.ch/de/beratungsstellen/reptilien-karch/die-reptilien/arten#gsc.tab=0	URL
575	Milichiidae. (2023). In Wikipedia. https://en.wikipedia.org/w/index.php?title=Milichiidae&oldid=1210473230	Analogue	Voluntary website		NA		NA	2023	https://en.wikipedia.org/w/index.php?title=Milichiidae&oldid=1210473230	URL
576	RAYMONDIONYMIDAE. (2023). UK BEETLES. https://web.archive.org/web/20230611061528/https://www.ukbeetles.co.uk/raymondionymidae	Digital	Scientific website		NA		United Kingdom	2023	https://web.archive.org/web/20230611061528/https://www.ukbeetles.co.uk/raymondionymidae	URL
577	DASYTIDAE. (2023). UK BEETLES. https://web.archive.org/web/20230611045915/https://www.ukbeetles.co.uk/dasytidae	Digital	Scientific website		NA		United Kingdom	2023	https://web.archive.org/web/20230611045915/https://www.ukbeetles.co.uk/dasytidae	URL
578	Benisch, C. (2023). Cisidae (minute tree-fungus beetles) of Germany. Kerbtier.De. https://www.kerbtier.de/cgi-bin/enFSearch.cgi?Fam=Cisidae	Digital	Scientific website		NA		Germany	2023	https://www.kerbtier.de/cgi-bin/enFSearch.cgi?Fam=Cisidae	URL
579	Haselböck, A. (2023). Omalisus fontisbellaquaei / Ohne deutschen Namen / Breithalsfliegenkäfer—Omalisidae. https://www.naturspaziergang.de/Kaefer/Omalisus_fontisbellaquaei.htm	Analogue	Voluntary website		NA		Germany	2023	https://www.naturspaziergang.de/Kaefer/Omalisus_fontisbellaquaei.htm	URL
580	UKBeetles. (2023, March 7). MELOIDAE | uk beetles. https://web.archive.org/web/20230307152008/https://www.ukbeetles.co.uk/meloidae	Analogue	Scientific website		NA		United Kingdom	2023	https://web.archive.org/web/20230307152008/https://www.ukbeetles.co.uk/meloidae	URL
581	UKBeetles. (2023). Salpingidae. https://web.archive.org/web/20230609120117/https://www.ukbeetles.co.uk/salpingidae	Analogue	Scientific website		NA		United Kingdom	2023	https://web.archive.org/web/20230609120117/https://www.ukbeetles.co.uk/salpingidae	URL
582	UKBeetles. (2023, December 6). Mycetophagidae. https://web.archive.org/web/20231206114338/https://www.ukbeetles.co.uk/mycetophagidae	Analogue	Scientific website		NA		United Kingdom	2023	https://web.archive.org/web/20231206114338/https://www.ukbeetles.co.uk/mycetophagidae	URL
583	Funk, W. (n.d.). Insektenbox: Scolia sexmaculata. Retrieved 7 March 2023, from http://www.insektenbox.de/hautfl/scolse.htm	Analogue	Voluntary website		NA		Germany	2023	http://www.insektenbox.de/hautfl/scolse.htm	URL
584	Funk, W. (n.d.). Insektenbox: Rhinophora lepida. Retrieved 7 March 2023, from http://www.insektenbox.de/zweifl/rhinle.htm	Analogue	Voluntary website		NA		Germany	2023	http://www.insektenbox.de/zweifl/rhinle.htm	URL
585	Bantock, T., & Botting, J. (n.d.). (Rhopalidae) Rhopalus rufus. Retrieved 20 October 2022, from https://www.britishbugs.org.uk/heteroptera/Rhopalidae/rhopalus_rufus.html	Analogue	Voluntary website		NA		United Kingdom	NA	https://www.britishbugs.org.uk/heteroptera/Rhopalidae/rhopalus_rufus.html	URL
586	Green, A. J. (2019, April 14). Arge melanochra (Gmelin, 1790)—Sawflies. https://www.sawflies.org.uk/arge-melanochra/	Analogue	Scientific website		NA		United Kingdom; Ireland	2019	https://www.sawflies.org.uk/arge-melanochra/	URL
587	Ziegler, H. (n.d.). Agrotis simplonia in euroleps.ch, © Heiner Ziegler. Retrieved 15 August 2022, from https://www.euroleps.ch/seiten/s_art.php?art=noct_simplonia	Analogue	Scientific website		NA		Europe; Asia	NA	https://www.euroleps.ch/seiten/s_art.php?art=noct_simplonia	URL
588	Ziegler, H. (n.d.). Alcis jubata in euroleps.ch, © Heiner Ziegler. Retrieved 15 August 2022, from https://www.euroleps.ch/seiten/s_art.php?art=geo_jubata	Analogue	Scientific website		NA		Europe; Asia	NA	https://www.euroleps.ch/seiten/s_art.php?art=geo_jubata	URL
589	Ziegler, H. (n.d.). Archiearis puella in euroleps.ch, © Heiner Ziegler. Retrieved 15 August 2022, from https://www.euroleps.ch/seiten/s_art.php?art=geo_puella	Analogue	Scientific website		NA		Europe; Asia	NA	https://www.euroleps.ch/seiten/s_art.php?art=geo_puella	URL
590	Ziegler, H. (n.d.). Arctia flavia in euroleps.ch, © Heiner Ziegler. Retrieved 15 August 2022, from https://www.euroleps.ch/seiten/s_art.php?art=arct_flavia	Analogue	Scientific website		NA		Europe; Asia	NA	https://www.euroleps.ch/seiten/s_art.php?art=arct_flavia	URL
591	Ziegler, H. (n.d.). Athetis gluteosa in euroleps.ch, © Heiner Ziegler. Retrieved 15 August 2022, from https://www.euroleps.ch/seiten/s_art.php?art=noct_gluteosa	Analogue	Scientific website		NA		Europe; Asia	NA	https://www.euroleps.ch/seiten/s_art.php?art=noct_gluteosa	URL
592	Ziegler, H. (n.d.). Baptria tibiale in euroleps.ch, © Heiner Ziegler. Retrieved 15 August 2022, from https://www.euroleps.ch/seiten/s_art.php?art=geo_tibiale	Analogue	Scientific website		NA		Europe; Asia	NA	https://www.euroleps.ch/seiten/s_art.php?art=geo_tibiale	URL
593	Ziegler, H. (n.d.). Charissa italohelveticus in euroleps.ch, © Heiner Ziegler. Retrieved 15 August 2022, from https://www.euroleps.ch/seiten/s_art.php?art=geo_italohelveticus	Analogue	Scientific website		NA		Europe; Asia	NA	https://www.euroleps.ch/seiten/s_art.php?art=geo_italohelveticus	URL
594	Ziegler, H. (n.d.). Charissa mucidaria in euroleps.ch, © Heiner Ziegler. Retrieved 15 August 2022, from https://www.euroleps.ch/seiten/s_art.php?art=geo_mucidaria	Analogue	Scientific website		NA		Europe; Asia	NA	https://www.euroleps.ch/seiten/s_art.php?art=geo_mucidaria	URL
595	Ziegler, H. (n.d.). Chersotis alpestris in euroleps.ch, © Heiner Ziegler. Retrieved 15 August 2022, from https://www.euroleps.ch/seiten/s_art.php?art=noct_alpestris	Analogue	Scientific website		NA		Europe; Asia	NA	https://www.euroleps.ch/seiten/s_art.php?art=noct_alpestris	URL
596	Ziegler, H. (n.d.). Chersotis fimbriola in euroleps.ch, © Heiner Ziegler. Retrieved 15 August 2022, from https://www.euroleps.ch/seiten/s_art.php?art=noct_fimbriola	Analogue	Scientific website		NA		Europe; Asia	NA	https://www.euroleps.ch/seiten/s_art.php?art=noct_fimbriola	URL
597	Ziegler, H. (n.d.). Chersotis oreina in euroleps.ch, © Heiner Ziegler. Retrieved 15 August 2022, from https://www.euroleps.ch/seiten/s_art.php?art=noct_oreina	Analogue	Scientific website		NA		Europe; Asia	NA	https://www.euroleps.ch/seiten/s_art.php?art=noct_oreina	URL
598	Ziegler, H. (n.d.). Chloroclystis vata in euroleps.ch, © Heiner Ziegler. Retrieved 15 August 2022, from https://www.euroleps.ch/seiten/s_art.php?art=noct_gluteosa	Analogue	Scientific website		NA		Europe; Asia	NA	https://www.euroleps.ch/seiten/s_art.php?art=noct_gluteosa	URL
599	Ziegler, H. (n.d.). Coenocalpe lapidata in euroleps.ch, © Heiner Ziegler. Retrieved 15 August 2022, from https://www.euroleps.ch/seiten/s_art.php?art=geo_lapidata	Analogue	Scientific website		NA		Europe; Asia	NA	https://www.euroleps.ch/seiten/s_art.php?art=geo_lapidata	URL
600	Ziegler, H. (n.d.). Colostygia aqueata in euroleps.ch, © Heiner Ziegler. Retrieved 15 August 2022, from https://www.euroleps.ch/seiten/s_art.php?art=geo_aqueata	Analogue	Scientific website		NA		Europe; Asia	NA	https://www.euroleps.ch/seiten/s_art.php?art=geo_aqueata	URL
601	Ziegler, H. (n.d.). Colostygia austriacaria in euroleps.ch, © Heiner Ziegler. Retrieved 15 August 2022, from https://www.euroleps.ch/seiten/s_art.php?art=geo_austriacaria	Analogue	Scientific website		NA		Europe; Asia	NA	https://www.euroleps.ch/seiten/s_art.php?art=geo_austriacaria	URL
602	Ziegler, H. (n.d.). Colostygia puengeleri in euroleps.ch, © Heiner Ziegler. Retrieved 15 August 2022, from https://www.euroleps.ch/seiten/s_art.php?art=geo_puengeleri	Analogue	Scientific website		NA		Europe; Asia	NA	https://www.euroleps.ch/seiten/s_art.php?art=geo_puengeleri	URL
603	Ziegler, H. (n.d.). Crocota pseudotinctaria in euroleps.ch, © Heiner Ziegler. Retrieved 15 August 2022, from https://www.euroleps.ch/seiten/s_art.php?art=geo_pseudotinctaria	Analogue	Scientific website		NA		Europe; Asia	NA	https://www.euroleps.ch/seiten/s_art.php?art=geo_pseudotinctaria	URL
604	Ziegler, H. (n.d.). Crocota tinctaria in euroleps.ch, © Heiner Ziegler. Retrieved 15 August 2022, from https://www.euroleps.ch/seiten/s_art.php?art=geo_tinctaria	Analogue	Scientific website		NA		Europe; Asia	NA	https://www.euroleps.ch/seiten/s_art.php?art=geo_tinctaria	URL
605	Ziegler, H. (n.d.). Eilema pseudocomplana in euroleps.ch, © Heiner Ziegler. Retrieved 15 August 2022, from https://www.euroleps.ch/seiten/s_art.php?art=arct_pseudocomplana	Analogue	Scientific website		NA		Europe; Asia	NA	https://www.euroleps.ch/seiten/s_art.php?art=arct_pseudocomplana	URL
606	Ziegler, H. (n.d.). Sciadia andereggaria in euroleps.ch, © Heiner Ziegler. Retrieved 15 August 2022, from https://www.euroleps.ch/seiten/s_art.php?art=geo_andereggaria	Analogue	Scientific website		NA		Europe; Asia	NA	https://www.euroleps.ch/seiten/s_art.php?art=geo_andereggaria	URL
607	Ziegler, H. (n.d.). Sciadia caelibaria senilaria in euroleps.ch, © Heiner Ziegler. Retrieved 15 August 2022, from https://www.euroleps.ch/seiten/s_art.php?art=geo_caelibaria	Analogue	Scientific website		NA		Europe; Asia	NA	https://www.euroleps.ch/seiten/s_art.php?art=geo_caelibaria	URL
608	Ziegler, H. (n.d.). Scrupeodes serotinaria in euroleps.ch, © Heiner Ziegler. Retrieved 15 August 2022, from https://www.euroleps.ch/seiten/s_art.php?art=geo_serotinaria	Analogue	Scientific website		NA		Europe; Asia	NA	https://www.euroleps.ch/seiten/s_art.php?art=geo_serotinaria	URL
609	Ziegler, H. (n.d.). Sciadia operaria necopinatus in euroleps.ch, © Heiner Ziegler. Retrieved 15 August 2022, from https://www.euroleps.ch/seiten/s_art.php?art=geo_operaria	Analogue	Scientific website		NA		Europe; Asia	NA	https://www.euroleps.ch/seiten/s_art.php?art=geo_operaria	URL
610	Ziegler, H. (n.d.). Scrupeodes serotinaria in euroleps.ch, © Heiner Ziegler. Retrieved 15 August 2022, from https://www.euroleps.ch/seiten/s_art.php?art=geo_serotinaria	Analogue	Scientific website		NA		Europe; Asia	NA	https://www.euroleps.ch/seiten/s_art.php?art=geo_serotinaria	URL
611	Ziegler, H. (n.d.). Sciadia unicoloraria in euroleps.ch, © Heiner Ziegler. Retrieved 15 August 2022, from https://www.euroleps.ch/seiten/s_art.php?art=geo_unicoloraria	Analogue	Scientific website		NA		Europe; Asia	NA	https://www.euroleps.ch/seiten/s_art.php?art=geo_unicoloraria	URL
612	Ziegler, H. (n.d.). Sciadia zelleraria in euroleps.ch, © Heiner Ziegler. Retrieved 15 August 2022, from https://www.euroleps.ch/seiten/s_art.php?art=geo_zelleraria	Analogue	Scientific website		NA		Europe; Asia	NA	https://www.euroleps.ch/seiten/s_art.php?art=geo_zelleraria	URL
613	Ziegler, H. (n.d.). Sciadia zelleraria in euroleps.ch, © Heiner Ziegler. Retrieved 15 August 2022, from https://www.euroleps.ch/seiten/s_art.php?art=geo_zelleraria	Analogue	Scientific website		NA		Europe; Asia	NA	https://www.euroleps.ch/seiten/s_art.php?art=geo_zelleraria	URL
614	Ziegler, H. (n.d.). Caradrina gilva in euroleps.ch, © Heiner Ziegler. Retrieved 15 August 2022, from https://www.euroleps.ch/seiten/s_art.php?art=noct_gilva	Analogue	Scientific website		NA		Europe; Asia	NA	https://www.euroleps.ch/seiten/s_art.php?art=noct_gilva	URL
615	Ziegler, H. (n.d.). Psodos alticolaria in euroleps.ch, © Heiner Ziegler. Retrieved 15 August 2022, from https://www.euroleps.ch/seiten/s_art.php?art=geo_alticolaria	Analogue	Scientific website		NA		Europe; Asia	NA	https://www.euroleps.ch/seiten/s_art.php?art=geo_alticolaria	URL
616	Ziegler, H. (n.d.). Psodos bentelii in euroleps.ch, © Heiner Ziegler. Retrieved 15 August 2022, from https://www.euroleps.ch/seiten/s_art.php?art=geo_bentelii	Analogue	Scientific website		NA		Europe; Asia	NA	https://www.euroleps.ch/seiten/s_art.php?art=geo_bentelii	URL
617	Ziegler, H. (n.d.). Psodos canaliculata in euroleps.ch, © Heiner Ziegler. Retrieved 15 August 2022, from https://www.euroleps.ch/seiten/s_art.php?art=geo_canaliculata	Analogue	Scientific website		NA		Europe; Asia	NA	https://www.euroleps.ch/seiten/s_art.php?art=geo_canaliculata	URL
618	Ziegler, H. (n.d.). Psodos wehrlii in euroleps.ch, © Heiner Ziegler. Retrieved 15 August 2022, from https://www.euroleps.ch/seiten/s_art.php?art=geo_wehrlii	Analogue	Scientific website		NA		Europe; Asia	NA	https://www.euroleps.ch/seiten/s_art.php?art=geo_wehrlii	URL
619	Ziegler, H. (n.d.). Glossotrophia asellaria in euroleps.ch, © Heiner Ziegler. Retrieved 15 August 2022, from https://www.euroleps.ch/seiten/s_art.php?art=noct_asellaria	Analogue	Scientific website		NA		Europe; Asia	NA	https://www.euroleps.ch/seiten/s_art.php?art=noct_asellaria	URL
620	Ziegler, H. (n.d.). Idaea calunetaria calunetaria in euroleps.ch, © Heiner Ziegler. Retrieved 15 August 2022, from https://www.euroleps.ch/seiten/s_art.php?art=geo_calunetaria	Analogue	Scientific website		NA		Europe; Asia	NA	https://www.euroleps.ch/seiten/s_art.php?art=geo_calunetaria	URL
621	Ziegler, H. (n.d.). Idaea deversaria in euroleps.ch, © Heiner Ziegler. Retrieved 15 August 2022, from https://www.euroleps.ch/seiten/s_art.php?art=geo_deversaria	Analogue	Scientific website		NA		Europe; Asia	NA	https://www.euroleps.ch/seiten/s_art.php?art=geo_deversaria	URL
622	Ziegler, H. (n.d.). Idaea distinctaria in euroleps.ch, © Heiner Ziegler. Retrieved 15 August 2022, from https://www.euroleps.ch/seiten/s_art.php?art=geo_distinctaria	Analogue	Scientific website		NA		Europe; Asia	NA	https://www.euroleps.ch/seiten/s_art.php?art=geo_distinctaria	URL
623	Ziegler, H. (n.d.). Idaea filicata in euroleps.ch, © Heiner Ziegler. Retrieved 15 August 2022, from https://www.euroleps.ch/seiten/s_art.php?art=geo_filicata	Analogue	Scientific website		NA		Europe; Asia	NA	https://www.euroleps.ch/seiten/s_art.php?art=geo_filicata	URL
624	Ziegler, H. (n.d.). Idaea flaveolaria in euroleps.ch, © Heiner Ziegler. Retrieved 15 August 2022, from https://www.euroleps.ch/seiten/s_art.php?art=geo_flaveolaria	Analogue	Scientific website		NA		Europe; Asia	NA	https://www.euroleps.ch/seiten/s_art.php?art=geo_flaveolaria	URL
625	Ziegler, H. (n.d.). Idaea inquinata in euroleps.ch, © Heiner Ziegler. Retrieved 15 August 2022, from https://www.euroleps.ch/seiten/s_art.php?art=geo_inquinata	Analogue	Scientific website		NA		Europe; Asia	NA	https://www.euroleps.ch/seiten/s_art.php?art=geo_inquinata	URL
626	Ziegler, H. (n.d.). Idaea moniliata in euroleps.ch, © Heiner Ziegler. Retrieved 15 August 2022, from https://www.euroleps.ch/seiten/s_art.php?art=geo_moniliata	Analogue	Scientific website		NA		Europe; Asia	NA	https://www.euroleps.ch/seiten/s_art.php?art=geo_moniliata	URL
627	Ziegler, H. (n.d.). Idaea nitidata in euroleps.ch, © Heiner Ziegler. Retrieved 15 August 2022, from https://www.euroleps.ch/seiten/s_art.php?art=geo_nitidata	Analogue	Scientific website		NA		Europe; Asia	NA	https://www.euroleps.ch/seiten/s_art.php?art=geo_nitidata	URL
628	Ziegler, H. (n.d.). Idaea obsoletaria in euroleps.ch, © Heiner Ziegler. Retrieved 15 August 2022, from https://www.euroleps.ch/seiten/s_art.php?art=geo_obsoletaria	Analogue	Scientific website		NA		Europe; Asia	NA	https://www.euroleps.ch/seiten/s_art.php?art=geo_obsoletaria	URL
629	Ziegler, H. (n.d.). Idaea pallidata in euroleps.ch, © Heiner Ziegler. Retrieved 15 August 2022, from https://www.euroleps.ch/seiten/s_art.php?art=geo_pallidata	Analogue	Scientific website		NA		Europe; Asia	NA	https://www.euroleps.ch/seiten/s_art.php?art=geo_pallidata	URL
630	Ziegler, H. (n.d.). Idaea politaria in euroleps.ch, © Heiner Ziegler. Retrieved 15 August 2022, from https://www.euroleps.ch/seiten/s_art.php?art=geo_politaria	Analogue	Scientific website		NA		Europe; Asia	NA	https://www.euroleps.ch/seiten/s_art.php?art=geo_politaria	URL
631	Ziegler, H. (n.d.). Idaea rubraria in euroleps.ch, © Heiner Ziegler. Retrieved 15 August 2022, from https://www.euroleps.ch/seiten/s_art.php?art=geo_rubraria	Analogue	Scientific website		NA		Europe; Asia	NA	https://www.euroleps.ch/seiten/s_art.php?art=geo_rubraria	URL
632	Ziegler, H. (n.d.). Idaea sericeata in euroleps.ch, © Heiner Ziegler. Retrieved 15 August 2022, from https://www.euroleps.ch/seiten/s_art.php?art=geo_sericeata	Analogue	Scientific website		NA		Europe; Asia	NA	https://www.euroleps.ch/seiten/s_art.php?art=geo_sericeata	URL
633	Ziegler, H. (n.d.). Idaea typicata in euroleps.ch, © Heiner Ziegler. Retrieved 15 August 2022, from https://www.euroleps.ch/seiten/s_art.php?art=geo_typicata	Analogue	Scientific website		NA		Europe; Asia	NA	https://www.euroleps.ch/seiten/s_art.php?art=geo_typicata	URL
634	Ziegler, H. (n.d.). Idaea vesubiata in euroleps.ch, © Heiner Ziegler. Retrieved 15 August 2022, from https://www.euroleps.ch/seiten/s_art.php?art=geo_vesubiata	Analogue	Scientific website		NA		Europe; Asia	NA	https://www.euroleps.ch/seiten/s_art.php?art=geo_vesubiata	URL
635	Ziegler, H. (n.d.). Lythria plumularia in euroleps.ch, © Heiner Ziegler. Retrieved 15 August 2022, from https://www.euroleps.ch/seiten/s_art.php?art=geo_plumularia	Analogue	Scientific website		NA		Europe; Asia	NA	https://www.euroleps.ch/seiten/s_art.php?art=geo_plumularia	URL
636	Ziegler, H. (n.d.). Menophra nycthemeraria in euroleps.ch, © Heiner Ziegler. Retrieved 15 August 2022, from https://www.euroleps.ch/seiten/s_art.php?art=geo_nycthemeraria	Analogue	Scientific website		NA		Europe; Asia	NA	https://www.euroleps.ch/seiten/s_art.php?art=geo_nycthemeraria	URL
637	Ziegler, H. (n.d.). Menophra nycthemeraria in euroleps.ch, © Heiner Ziegler. Retrieved 15 August 2022, from https://www.euroleps.ch/seiten/s_art.php?art=geo_nycthemeraria	Analogue	Scientific website		NA		Europe; Asia	NA	https://www.euroleps.ch/seiten/s_art.php?art=noct_congrua	URL
638	Ziegler, H. (n.d.). Nychiodes dalmatina in euroleps.ch, © Heiner Ziegler. Retrieved 15 August 2022, from https://www.euroleps.ch/seiten/s_art.php?art=geo_dalmatina	Analogue	Scientific website		NA		Europe; Asia	NA	https://www.euroleps.ch/seiten/s_art.php?art=geo_dalmatina	URL
639	Ziegler, H. (n.d.). Oligia dubia in euroleps.ch, © Heiner Ziegler. Retrieved 15 August 2022, from https://www.euroleps.ch/seiten/s_art.php?art=noct_olidubia	Analogue	Scientific website		NA		Europe; Asia	NA	https://www.euroleps.ch/seiten/s_art.php?art=noct_olidubia	URL
640	Ziegler, H. (n.d.). Oreopsyche tenella in euroleps.ch, © Heiner Ziegler. Retrieved 15 August 2022, from https://www.euroleps.ch/seiten/s_art.php?art=psych_tenella	Analogue	Scientific website		NA		Europe; Asia	NA	https://www.euroleps.ch/seiten/s_art.php?art=psych_tenella	URL
641	Ziegler, H. (n.d.). Oreopsyche vorbrodtella in euroleps.ch, © Heiner Ziegler. Retrieved 15 August 2022, from https://www.euroleps.ch/seiten/s_art.php?art=psych_vorbrodtella	Analogue	Scientific website		NA		Europe; Asia	NA	https://www.euroleps.ch/seiten/s_art.php?art=psych_vorbrodtella	URL
642	Ziegler, H. (n.d.). Caradrina flavirena in euroleps.ch, © Heiner Ziegler. Retrieved 15 August 2022, from https://www.euroleps.ch/seiten/s_art.php?art=noct_flavirena	Analogue	Scientific website		NA		Europe; Asia	NA	https://www.euroleps.ch/seiten/s_art.php?art=noct_flavirena	URL
643	Ziegler, H. (n.d.). Phalacropterix praecellens in euroleps.ch, © Heiner Ziegler. Retrieved 15 August 2022, from https://www.euroleps.ch/seiten/s_art.php?art=psych_praecellens	Analogue	Scientific website		NA		Europe; Asia	NA	https://www.euroleps.ch/seiten/s_art.php?art=psych_praecellens	URL
644	Ziegler, H. (n.d.). Polypogon gryphalis in euroleps.ch, © Heiner Ziegler. Retrieved 15 August 2022, from https://www.euroleps.ch/seiten/s_art.php?art=ereb_gryphalis	Analogue	Scientific website		NA		Europe; Asia	NA	https://www.euroleps.ch/seiten/s_art.php?art=ereb_gryphalis	URL
645	Ziegler, H. (n.d.). Pseudobankesia alpestrella in euroleps.ch, © Heiner Ziegler. Retrieved 15 August 2022, from https://www.euroleps.ch/seiten/s_art.php?art=psych_alpestrella	Analogue	Scientific website		NA		Europe; Asia	NA	https://www.euroleps.ch/seiten/s_art.php?art=psych_alpestrella	URL
646	Ziegler, H. (n.d.). Pseudobankesia contractella in euroleps.ch, © Heiner Ziegler. Retrieved 15 August 2022, from https://www.euroleps.ch/seiten/s_art.php?art=psych_contractella	Analogue	Scientific website		NA		Europe; Asia	NA	https://www.euroleps.ch/seiten/s_art.php?art=psych_contractella	URL
647	Ziegler, H. (n.d.). Ptilocephala albida in euroleps.ch, © Heiner Ziegler. Retrieved 15 August 2022, from https://www.euroleps.ch/seiten/s_art.php?art=psych_albida	Analogue	Scientific website		NA		Europe; Asia	NA	https://www.euroleps.ch/seiten/s_art.php?art=psych_albida	URL
648	Ziegler, H. (n.d.). Ptilocephala pyrenaella in euroleps.ch, © Heiner Ziegler. Retrieved 15 August 2022, from https://www.euroleps.ch/seiten/s_art.php?art=psych_pyrenaella	Analogue	Scientific website		NA		Europe; Asia	NA	https://www.euroleps.ch/seiten/s_art.php?art=psych_pyrenaella	URL
649	Hauser, E. (2012). Revision der Gattung Rebelia HEYLAERTS 1900 (Lepidoptera, Psychidae). Linzer Biologische Beiträge, 44(1), 181–306.	Analogue	Primary literature		NA		Europe	2012	https://www.zobodat.at/pdf/LBB_0044_1_0181-0306.pdf	URL
650	Ziegler, H. (n.d.). Thumatha senex in euroleps.ch, © Heiner Ziegler. Retrieved 15 August 2022, from https://www.euroleps.ch/seiten/s_art.php?art=arct_thusenex	Analogue	Scientific website		NA		Europe; Asia	NA	https://www.euroleps.ch/seiten/s_art.php?art=arct_thusenex	URL
651	Arnscheid, W. R., & Weidlich, M. (2017). Psychidae. In Microlepidoptera of Europe (Vol. 8). Brill.	Analogue	Book section		NA		Europe	2017	978-90-04-33957-6	DOI
652	Kimber, I. (n.d.). Plain Plume Adult. UKMOTHS. Retrieved 6 May 2023, from https://www.ukmoths.org.uk/species/hellinsia-tephradactyla/adult/	Analogue	Scientific website		NA		United Kingdom; Ireland	NA	https://www.ukmoths.org.uk/species/hellinsia-tephradactyla/adult/	URL
653	Kimber, I. (n.d.). Tamarisk Peacock Adult. UKMOTHS. Retrieved 6 May 2023, from https://www.ukmoths.org.uk/species/chiasmia-aestimaria/adult/	Analogue	Scientific website		NA		United Kingdom; Ireland	NA	https://www.ukmoths.org.uk/species/chiasmia-aestimaria/adult/	URL
654	Kimber, I. (n.d.). Hypochalcia ahenella Adult. UKMOTHS. Retrieved 6 May 2023, from https://www.ukmoths.org.uk/species/hypochalcia-ahenella/adult/	Analogue	Scientific website		NA		United Kingdom; Ireland	NA	https://www.ukmoths.org.uk/species/hypochalcia-ahenella/adult/	URL
655	Kimber, I. (n.d.). Nemapogon koenigi Adult. UKMOTHS. Retrieved 6 May 2023, from https://www.ukmoths.org.uk/species/nemapogon-wolffiella/adult/	Analogue	Scientific website		NA		United Kingdom; Ireland	NA	https://www.ukmoths.org.uk/species/nemapogon-wolffiella/adult/	URL
656	Hoddé, P. M.-C. (2023, February 24). Lepinet.fr—Phycita coronatella—La Phycide de l’Erable champêtre. lepinet.fr. https://www.lepinet.fr/especes/nation/lep/index.php?e=l&id=26660	Analogue	Scientific website		NA		France	2023	https://www.lepinet.fr/especes/nation/lep/index.php?e=l&id=26660	URL
657	Mound, L., Collins, D., & Hastings, A. (2018). Factsheet—Aelothrips vittatus. Thysanoptera Britannica et Hibernica- Thrips of the British Isles. https://keys.lucidcentral.org/keys/v3/british_thrips/the_key/key/britishthysanoptera/Media/Html/Entities/aeolothrips_vittatus.htm	Digital	Book		Metaanalysis		United Kingdom; Ireland	2018	https://keys.lucidcentral.org/keys/v3/british_thrips/the_key/key/britishthysanoptera/Media/Html/Entities/aeolothrips_vittatus.htm	URL
658	Mound, L., Collins, D., & Hastings, A. (2018). Factsheet—Cryptothrips nigripes. Thysanoptera Britannica et Hibernica- Thrips of the British Isles. https://keys.lucidcentral.org/keys/v3/british_thrips/the_key/key/britishthysanoptera/Media/Html/Entities/cryptothrips_nigripes.htm	Digital	Book		NA		United Kingdom; Ireland	2018	https://keys.lucidcentral.org/keys/v3/british_thrips/the_key/key/britishthysanoptera/Media/Html/Entities/cryptothrips_nigripes.htm	URL
659	Mound, L., Collins, D., & Hastings, A. (2018). Factsheet—Hoplandrothrips bidens. Thysanoptera Britannica et Hibernica- Thrips of the British Isles. https://keys.lucidcentral.org/keys/v3/british_thrips/the_key/key/britishthysanoptera/Media/Html/Entities/hoplandrothrips_bidens.htm	Digital	Book		NA		United Kingdom; Ireland	2018	https://keys.lucidcentral.org/keys/v3/british_thrips/the_key/key/britishthysanoptera/Media/Html/Entities/hoplandrothrips_bidens.htm	URL
660	Mound, L., Collins, D., & Hastings, A. (2018). Factsheet—Hoplothrips corticis. Thysanoptera Britannica et Hibernica- Thrips of the British Isles. https://keys.lucidcentral.org/keys/v3/british_thrips/the_key/key/britishthysanoptera/Media/Html/Entities/hoplothrips_corticis.htm	Digital	Book		NA		United Kingdom; Ireland	2018	https://keys.lucidcentral.org/keys/v3/british_thrips/the_key/key/britishthysanoptera/Media/Html/Entities/hoplothrips_corticis.htm	URL
661	Mound, L., Collins, D., & Hastings, A. (2018). Factsheet—Odontothrips meliloti. Thysanoptera Britannica et Hibernica- Thrips of the British Isles. https://keys.lucidcentral.org/keys/v3/british_thrips/the_key/key/britishthysanoptera/Media/Html/Entities/odontothrips_meliloti.htm	Digital	Book		NA		United Kingdom; Ireland	2018	https://keys.lucidcentral.org/keys/v3/british_thrips/the_key/key/britishthysanoptera/Media/Html/Entities/odontothrips_meliloti.htm	URL
